AndroidTime;User;Shape;Rotation;Position;Data
1598617004005;0;arrow;0.0;0;1598617004,002147479,0,0,0,1,3,9,2,-1,0,0,-3,-5,0,0,-2,-2,2,1,1,7,13,5,2,-2,2,1,1,-2,1,2,1,0,1,1,7,8,1,1,-1,1,0,1,-1,-1,1,2,2,2,3,7,16,5,4,4,2,2,2,2,0,4,0,134,0,2,6,12,3,0,1,0,0,2,0,1,0,4,3,3,3,8,10,6,4,3,3,4,3,1,1,2,3,1,0,3,10,15,7,2,2,1,2,7,0,2,0,2,5,4,5,50,114,19,2,4,1,2,2,2,2,1,5,4,7,5,105,225,49,4,4,5,4,4,1,2,0,5,2,0,10,142,219,116,9,1,2,2,0,1,2,1,5,1,1,1,96,217,60,1,2,4,2,4,0,1,-2,1,1,1,4,18,93,9,-2,1,2,1,5,2,1,1,4,2,4,4,11,19,5,2,2,4,2,5,2,2,1,1,-3,-2,-2,4,13,1,0,-2,-2,-2,0,0,-2,2,1,1,0,1,5,11,4,1,0,-2,-2,1,1,0,0,1,-2,-2,0,2,9,1,-2,-2,-3,-5,0,-3,-2,-2,0,1,-2,1,4,9,2,-2,1,1,0,1,0,-3,0,2,0,0,1,5,9,1,0,1,1,1,2,1,1,2,7,1,1,1,4,9,2,2,1,2,0,1,2,0,1,1,2,0,4,2,9,5,0,1,1,2,2,-2,1,0,1,1,0,1,4,7,4,0,0,0,1,0,2,1,2,4,1,-2,4,4,7,1,1,1,1,1,2,2,-2,4,0,0,0,1,1,2,1,-2,0,1,-2,-2,0,1,1,2,1,4,1,5,5,0,1,0,2,2,0,1,2,-2,4,1,0,0,0,1,0,-2,0,0,-3,0,-2,1,1,1,-3,0,-2,0,0,0,-2,-2,0,1,-2,0,0,1,1,1,0,1,1,2,0,0,0,0,-2,-3,-3,-2,0,
1598617004073;0;arrow;0.0;0;1598617004,071452323,0,0,-1,1,5,10,3,0,1,1,-2,-2,0,-3,4,1,1,1,1,9,16,5,2,-2,1,0,1,0,1,2,-2,-2,1,0,9,13,2,1,0,0,-2,0,-2,-2,0,4,1,0,1,11,16,7,5,2,2,2,1,4,1,4,1,-2,0,1,11,19,5,0,1,0,0,2,1,1,1,4,2,1,2,10,18,10,2,4,1,4,4,1,0,1,4,1,0,4,11,23,7,1,1,1,1,4,0,2,0,5,2,4,4,50,116,19,1,1,2,1,1,2,0,1,5,1,1,5,97,223,50,1,2,0,1,2,2,1,1,4,4,1,13,137,217,124,5,0,1,1,0,4,2,1,4,1,1,1,91,215,62,2,2,2,0,2,0,0,-2,1,1,4,4,18,91,10,1,4,5,1,5,4,2,1,5,4,5,7,11,19,5,2,2,5,5,5,4,4,2,0,-2,0,-2,5,13,1,0,0,1,-2,1,1,1,5,5,4,2,4,10,13,10,4,2,2,2,2,7,2,4,5,2,4,4,7,11,4,4,1,1,2,4,0,1,2,0,2,-5,1,1,9,1,0,1,-2,0,0,-2,-3,0,5,1,2,4,7,9,2,1,1,1,1,2,2,2,7,2,4,2,2,2,9,4,1,1,1,1,2,4,4,-2,1,1,0,4,4,10,4,1,0,2,2,2,1,2,1,0,0,1,1,2,7,2,0,2,0,1,-2,1,0,2,2,1,0,1,2,5,1,0,0,0,0,1,1,0,0,1,1,0,1,2,2,-2,-2,-2,1,1,-2,0,-2,1,-2,0,-2,0,0,2,-3,0,-3,-3,-2,-3,-3,0,-3,2,2,-2,0,-2,1,-2,-2,-2,-2,-2,0,-2,1,2,2,-2,-2,1,-2,1,1,0,-2,-2,1,-2,-2,-2,0,0,1,0,4,0,2,0,-3,1,0,-2,-2,0,1,0,
1598617004144;0;arrow;0.0;0;1598617004,143279354,0,0,-1,1,5,10,3,0,1,1,-2,-2,0,-3,4,1,1,1,1,9,16,5,2,-2,1,0,1,0,1,2,-2,-2,1,0,9,13,2,1,0,0,-2,0,-2,-2,0,4,1,0,1,11,16,7,5,2,2,2,1,4,1,4,1,-2,0,1,11,19,5,0,1,0,0,2,1,1,1,4,2,1,2,10,18,10,2,4,1,4,4,1,0,1,4,1,0,4,11,23,7,1,1,1,1,4,0,2,0,5,2,4,4,50,116,19,1,1,2,1,1,2,0,1,5,1,1,5,97,223,50,1,2,0,1,2,2,1,1,4,4,1,13,137,217,124,5,0,1,1,0,4,2,1,4,1,1,1,91,215,62,2,2,2,0,2,0,0,-2,1,1,4,4,18,91,10,1,4,5,1,5,4,2,1,5,4,5,7,11,19,5,2,2,5,5,5,4,4,2,0,-2,0,-2,5,13,1,0,0,1,-2,1,1,1,5,5,4,2,4,10,13,10,4,2,2,2,2,7,2,4,5,2,4,4,7,11,4,4,1,1,2,4,0,1,2,0,2,-5,1,1,9,1,0,1,-2,0,0,-2,-3,0,5,1,2,4,7,9,2,1,1,1,1,2,2,2,7,2,4,2,2,2,9,4,1,1,1,1,2,4,4,-2,1,1,0,4,4,10,4,1,0,2,2,2,1,2,1,0,0,1,1,2,7,2,0,2,0,1,-2,1,0,2,2,1,0,1,2,5,1,0,0,0,0,1,1,0,0,1,1,0,1,2,2,-2,-2,-2,1,1,-2,0,-2,1,-2,0,-2,0,0,2,-3,0,-3,-3,-2,-3,-3,0,-3,2,2,-2,0,-2,1,-2,-2,-2,-2,-2,0,-2,1,2,2,-2,-2,1,-2,1,1,0,-2,-2,1,-2,-2,-2,0,0,1,0,4,0,2,0,-3,1,0,-2,-2,0,1,0,
1598617004213;0;arrow;0.0;0;1598617004,211705187,0,0,-1,1,5,10,3,0,1,1,-2,-2,0,-3,4,1,1,1,1,9,16,5,2,-2,1,0,1,0,1,2,-2,-2,1,0,9,13,2,1,0,0,-2,0,-2,-2,0,4,1,0,1,11,16,7,5,2,2,2,1,4,1,4,1,-2,0,1,11,19,5,0,1,0,0,2,1,1,1,4,2,1,2,10,18,10,2,4,1,4,4,1,0,1,1,0,-2,2,7,13,5,0,0,-2,-1,2,-2,0,-3,5,3,2,3,31,76,15,1,2,1,2,1,2,2,0,4,2,3,3,59,145,37,3,1,2,2,1,2,1,1,2,2,2,9,133,217,128,5,0,1,0,-2,1,2,0,2,0,0,2,86,217,64,1,1,1,1,2,1,1,-2,4,2,5,2,18,94,11,1,2,4,2,5,2,5,2,5,1,2,4,10,18,7,2,1,2,2,4,1,2,0,1,1,0,1,7,15,2,1,1,-2,1,0,1,4,1,2,2,2,2,7,11,5,1,1,1,0,1,1,1,2,1,1,1,0,4,9,2,1,0,-3,-2,2,0,0,0,1,2,0,2,4,11,4,0,0,4,1,1,1,-2,1,4,1,2,4,5,9,2,0,2,1,1,2,1,2,1,4,2,1,4,2,7,1,2,0,0,0,1,1,0,2,4,4,1,2,4,10,5,0,1,1,2,2,1,1,1,1,1,1,1,1,5,0,1,0,0,-2,0,1,0,1,4,1,0,2,2,7,1,1,0,0,0,1,1,-2,1,0,1,0,2,1,5,0,1,0,2,1,0,-2,4,2,1,0,1,0,2,1,-3,0,-2,0,-3,-5,-2,-2,-2,4,1,2,2,0,4,1,1,2,2,-2,2,0,1,1,2,-3,0,2,-2,1,-2,0,0,2,1,-2,0,0,0,1,-2,1,2,1,0,0,-5,1,0,0,-2,-2,-2,1,
1598617004282;0;arrow;0.0;0;1598617004,281424094,0,0,-1,1,5,10,3,0,1,1,-2,-2,0,-3,4,1,1,1,1,9,16,5,2,-2,1,0,1,0,1,2,-2,-2,1,76,6,9,3,1,0,0,0,1,-1,0,-1,3,0,0,2,5,11,8,4,1,1,1,2,4,1,4,4,2,4,2,10,19,9,4,5,1,2,4,4,2,1,5,2,1,4,11,15,11,5,4,2,5,4,2,2,0,0,-2,-5,0,9,18,4,0,-2,0,-5,0,-3,-3,-6,5,5,4,7,46,119,23,1,1,2,1,4,2,4,1,5,1,0,1,86,221,58,1,1,0,-2,1,0,1,-2,4,1,2,9,130,219,132,7,0,1,1,-2,1,0,1,7,2,2,2,86,221,67,4,5,2,4,2,2,2,0,1,1,2,2,15,93,11,0,1,4,2,5,4,4,1,7,1,4,2,10,19,5,4,2,5,2,5,5,1,2,0,-2,-2,0,2,13,2,0,0,-3,0,0,0,0,0,1,0,0,2,7,10,5,0,1,2,0,2,2,0,2,2,1,-2,1,4,9,4,1,-2,-3,0,2,-3,0,0,2,0,1,2,4,11,2,1,1,2,1,1,1,0,1,4,1,1,2,4,9,2,1,1,1,-2,1,2,1,2,2,2,1,0,2,7,4,1,1,0,0,1,1,1,-2,2,2,1,2,4,10,5,-2,2,4,1,2,2,1,0,1,-2,1,2,2,7,2,1,1,1,1,-2,2,1,1,2,-2,-2,1,1,4,0,-2,-3,-2,1,1,2,0,-2,1,0,0,1,2,4,2,1,0,1,1,-3,0,4,2,1,1,1,2,1,2,-2,0,0,1,1,-2,1,1,-2,4,1,2,1,2,4,0,0,0,1,-2,4,1,2,0,1,0,1,2,1,1,0,1,1,1,2,-2,-2,2,1,0,-2,0,0,-2,1,0,-3,0,-3,0,0,-3,-2,2,
1598617004362;0;arrow;0.0;0;1598617004,357221124,0,0,-1,1,5,10,3,0,1,1,-2,-2,0,-3,4,1,1,1,1,9,16,5,2,-2,1,0,1,0,1,2,-2,-2,1,76,6,9,3,1,0,0,0,1,-1,0,-1,3,0,0,2,5,11,8,4,1,1,1,2,4,1,4,4,2,4,2,10,19,9,4,5,1,2,4,4,2,1,5,2,1,4,11,15,11,5,4,2,5,4,2,2,0,0,-2,-5,0,9,18,4,0,-2,0,-5,0,-3,-3,-6,5,5,4,7,46,119,23,1,2,2,3,3,2,1,1,5,2,2,2,57,144,38,2,2,2,2,4,1,4,1,2,0,1,5,132,215,125,5,-3,1,-3,-2,0,0,0,4,1,1,0,88,219,67,0,2,1,2,4,1,2,-2,4,2,5,4,16,94,13,1,2,4,4,5,4,5,2,4,4,5,4,9,19,7,4,4,4,2,4,2,7,2,1,-2,0,-2,4,13,4,1,0,0,1,0,0,1,1,1,0,1,1,4,10,5,1,0,-2,-2,1,1,0,0,5,4,1,2,5,10,4,2,0,0,-2,7,0,1,1,4,4,-2,4,5,7,5,1,2,2,1,2,1,-2,1,4,1,2,7,9,9,4,0,2,2,2,4,1,2,1,7,4,2,5,5,10,4,4,1,2,1,4,4,2,1,2,1,2,5,5,10,4,0,4,2,2,2,0,2,2,0,-2,1,1,2,9,2,1,1,-2,1,1,1,1,1,5,1,0,1,1,7,1,0,0,1,0,0,2,0,0,5,2,1,2,4,5,1,1,0,2,1,1,1,2,2,2,-2,0,1,0,1,-2,-3,-2,-3,-3,-3,-2,-3,-2,1,0,1,2,0,2,2,0,0,-2,1,-2,-2,0,1,0,-2,0,0,0,0,0,-2,-2,-2,-2,-6,-2,1,0,1,1,1,1,1,2,0,0,2,1,1,-2,-2,2,1,
1598617004424;0;arrow;0.0;0;1598617004,421895292,0,0,-1,1,5,10,3,0,1,1,-2,-2,0,-3,4,1,1,1,1,9,16,5,2,-2,1,0,1,0,1,2,-2,-2,1,76,6,9,3,1,0,0,0,1,-1,0,-1,3,0,0,2,5,11,8,4,1,1,1,2,4,1,4,4,2,4,2,10,19,9,4,5,1,2,4,4,2,1,5,2,1,4,11,15,11,5,4,2,5,4,2,2,0,0,-2,-5,0,9,18,4,0,-2,0,-5,0,-3,-3,-6,5,5,4,7,46,15,16,0,1,2,2,3,1,-1,-1,4,2,2,2,53,145,42,3,2,1,1,3,1,0,-2,4,1,1,5,84,142,86,7,0,2,2,0,0,2,2,1,1,1,0,53,141,44,1,2,1,1,2,-1,0,-2,2,2,4,2,16,94,13,2,2,4,2,5,2,5,2,5,4,4,4,9,18,9,4,2,5,2,5,2,5,1,0,1,-2,-2,4,13,4,1,1,-3,-2,-2,0,1,0,2,0,1,2,5,10,4,1,0,0,-2,0,2,1,1,1,1,-2,0,2,11,1,-2,-2,0,-3,1,-3,-2,0,5,4,0,2,5,13,5,4,2,2,2,1,2,1,1,2,1,1,2,4,10,2,1,0,1,-2,0,1,1,2,2,1,4,1,1,5,1,1,-2,-2,-2,0,0,0,0,4,2,1,4,2,10,4,0,1,1,2,2,1,1,0,0,-3,0,1,0,9,2,0,0,0,0,-2,4,0,2,4,1,0,2,2,7,1,0,1,1,1,1,2,1,0,4,2,1,1,4,4,2,1,1,2,-2,1,0,1,1,1,1,1,1,2,4,-2,0,0,1,0,0,0,-2,-2,4,0,0,1,-3,1,-2,-2,1,-3,-3,0,-2,2,0,2,-2,0,-3,1,0,1,0,0,0,0,-3,-3,0,1,1,-2,0,-2,0,0,0,0,0,-2,-2,-2,0,-2,0,
1598617004499;0;arrow;0.0;0;1598617004,498234614,1,0,-2,1,5,13,2,-2,0,-2,-2,-2,1,-2,2,0,0,0,0,5,13,4,1,-2,-3,-2,-3,0,0,0,0,-2,1,2,9,15,5,0,1,0,0,0,0,-2,0,4,2,4,2,9,18,9,2,4,1,2,2,4,2,5,1,1,0,1,9,19,5,-2,4,0,1,1,1,1,-2,2,2,0,1,10,16,9,2,1,2,2,2,2,-2,-2,2,1,1,4,10,23,10,1,2,1,0,4,1,0,0,5,5,4,7,41,120,29,4,4,2,4,4,2,1,1,5,1,2,4,81,221,64,1,2,4,1,2,1,1,-3,0,1,0,7,130,217,130,5,-2,0,0,0,1,1,0,4,-2,-2,-2,83,215,66,0,1,-2,0,1,0,-2,-5,1,0,1,1,13,93,10,0,2,2,1,2,1,2,0,2,1,4,5,9,18,7,1,4,2,4,4,2,2,0,0,-2,1,-2,4,13,2,0,-2,-2,1,-2,0,1,1,2,2,1,2,7,15,5,2,1,2,1,2,2,1,4,4,1,0,4,5,9,2,2,0,-2,-2,4,-2,2,1,2,-2,1,0,2,10,2,0,2,1,0,1,1,-2,-2,4,0,1,2,4,7,1,1,2,-2,2,2,1,4,2,5,1,4,2,2,10,2,2,1,1,0,2,4,2,0,1,1,1,4,4,10,5,-3,4,-2,2,2,-2,1,1,1,1,2,2,2,7,2,2,1,1,0,0,2,2,2,2,1,1,2,1,7,1,0,0,0,2,0,0,0,-2,1,0,2,1,4,5,1,1,0,1,1,1,0,2,0,1,2,1,1,2,4,1,0,0,-2,2,0,1,0,1,1,0,2,1,-2,2,1,1,1,0,-2,0,-3,1,0,1,0,0,0,-2,0,1,0,1,0,1,-2,0,0,1,1,0,1,2,1,2,2,1,0,1,1,-2,0,1,2,
1598617004564;0;arrow;0.0;0;1598617004,563104667,1,0,-2,1,5,11,4,2,1,-1,-1,-1,1,-1,3,0,1,1,1,7,16,2,0,-2,0,-2,0,-2,0,1,0,-2,1,1,9,13,4,2,0,1,1,-2,-2,0,0,2,1,1,4,7,16,9,4,1,2,2,1,2,1,1,2,0,4,4,9,21,7,2,4,1,4,5,4,1,1,4,2,1,4,11,18,10,4,2,4,5,4,2,2,2,2,-2,0,2,10,21,9,1,0,1,2,2,0,0,-3,5,2,2,4,41,118,29,4,4,2,1,2,2,1,4,7,4,4,5,81,225,66,4,2,4,2,2,5,1,2,5,4,1,9,132,221,133,9,1,2,1,-2,2,2,1,4,1,1,0,83,219,69,2,2,1,0,1,0,-2,-3,5,2,5,5,18,96,15,2,7,5,4,5,4,5,4,4,1,4,5,9,15,5,4,1,5,2,4,4,4,0,2,-2,0,1,5,16,4,1,1,2,2,1,1,0,2,4,2,2,1,5,11,5,0,0,0,1,2,1,1,2,5,2,0,4,5,10,4,2,0,0,0,2,0,-2,2,2,1,0,2,5,11,5,2,2,2,1,2,1,0,2,4,1,0,2,4,9,2,1,1,2,1,4,2,2,2,5,2,0,2,4,7,4,2,-2,1,0,1,4,2,-2,2,1,1,5,4,7,5,0,1,-2,1,2,-2,1,1,0,0,1,0,0,7,2,0,0,-2,0,-2,0,2,0,4,1,0,2,4,5,1,0,0,1,0,1,1,0,0,-2,1,-2,1,2,4,1,0,-2,1,0,-3,-2,0,1,2,1,1,2,1,4,1,-2,-2,-2,1,-3,0,0,0,2,1,2,1,1,4,0,0,1,0,1,1,2,4,2,4,-2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,-2,1,0,0,2,0,0,0,0,-3,-2,0,2,
1598617004632;0;arrow;0.0;0;1598617004,631394823,1,0,-2,1,5,11,4,2,1,-1,-1,-1,1,-1,3,0,1,1,1,7,16,2,0,-2,0,-2,0,-2,0,1,0,-2,1,1,9,13,4,2,0,1,1,-2,-2,0,0,2,1,1,4,7,16,9,4,1,2,2,1,2,1,1,2,0,4,4,9,21,7,2,4,1,4,5,4,1,1,4,2,1,4,11,18,10,4,2,4,5,4,2,2,2,2,-2,0,2,10,21,9,1,0,1,2,2,0,0,-3,5,2,2,4,41,118,29,4,4,2,1,2,2,1,4,7,4,4,5,81,225,66,4,2,4,2,2,5,1,2,5,4,0,5,84,140,84,4,-1,1,-1,-2,1,1,-1,3,0,0,1,55,140,44,0,2,3,0,0,0,0,-2,1,-1,1,1,9,60,8,0,1,2,1,3,2,1,0,4,2,4,3,6,12,4,2,2,3,2,3,3,2,0,3,1,1,1,4,10,4,1,2,-1,1,0,2,1,2,1,0,0,0,5,10,5,0,-2,1,0,1,2,0,0,4,2,0,1,5,10,5,1,0,-2,-2,2,0,1,1,1,0,0,2,4,11,4,1,2,1,1,2,0,0,0,4,-2,-2,1,2,5,2,0,0,1,0,0,1,1,2,4,2,1,2,2,7,4,1,-2,1,1,1,1,1,0,4,2,0,2,2,9,5,1,2,2,4,1,-2,2,0,1,1,2,1,4,9,4,1,1,-2,1,0,2,1,1,5,2,1,5,2,7,0,0,0,0,2,1,1,0,1,1,1,0,1,2,4,1,1,0,1,1,-2,0,1,0,4,1,2,1,1,5,-2,-3,2,1,1,-2,1,1,-2,2,1,0,1,-2,2,0,-2,0,0,1,1,-2,1,2,2,-2,-2,1,0,1,0,-2,1,-2,0,-2,-2,0,-2,0,2,2,1,1,1,0,1,1,0,2,0,0,0,4,
