timestamp;filter_size;dropout;rotation_output_angle_error;rotation_output_loss;shape_output_accuracy;shape_output_loss;size_output_accuracy;size_output_loss
1599830459.737756;300;0.4;13.085299;1.152554;0.9592604;0.11970998;0.9862144;0.03949705
1599835526.5430033;300;0.5;16.445086;1.4550759;0.94877124;0.15078856;0.98229355;0.051267795
1599840609.6277068;300;0.6;19.359148;1.7276667;0.9383281;0.18245445;0.9783496;0.062320106
1599849201.364261;400;0.1;3.6307197;0.34887782;0.98818415;0.034443896;0.99610645;0.011139712
1599857169.700133;400;0.2;6.132904;0.5596554;0.9803799;0.057527814;0.99370074;0.018230598
1599864972.7784255;400;0.3;8.864098;0.7928272;0.9711036;0.08412826;0.99070936;0.02691314
1599872663.198029;400;0.4;11.585135;1.0317225;0.9626144;0.11050028;0.98730505;0.036870193
1599880415.0303407;400;0.5;14.361702;1.2769755;0.9550705;0.13349818;0.9842446;0.045533326
1599888184.992387;400;0.6;17.38854;1.5502695;0.9445496;0.16490138;0.98053527;0.056383394
1599897582.6712108;250;0.4;14.555678;1.275439;0.9555799;0.13003756;0.98489064;0.04371957
1599900265.0304148;200;0.5;19.273907;1.6998428;0.9398043;0.17740563;0.97921294;0.06013026
1599902933.3180153;200;0.6;22.111721;1.977031;0.92706907;0.21620919;0.97413814;0.075052895
1599906414.450461;250;0.1;5.6949635;0.5082902;0.98312086;0.048374698;0.9945194;0.015475258
1599909925.9017885;250;0.2;8.876017;0.77392244;0.9729899;0.07814708;0.9913482;0.024702083
1599913437.1469939;250;0.3;11.708676;1.0182589;0.96422446;0.10399482;0.9880302;0.03413446
1599916965.1536832;250;0.5;17.584942;1.5506585;0.94566476;0.16011491;0.981282;0.054615114
1599920499.6202886;250;0.6;20.676485;1.848844;0.9337511;0.19700822;0.97642875;0.0677127
